id,severity,bucket,title,labels,file,effort,body
BUG-01,critical,next,"Duplicate migration prefixes in booking/migrations (020/043/044/047/051/071)","audit-2026-04,severity:critical,type:bug,area:db","booking/migrations/",M,"Sechs Migrations-Prefixes existieren doppelt (020_, 043_, 044_, 047_, 051_, 071_). Der Runner core/migrate.js sortiert rein alphabetisch — bei gleichem Prefix ist die Reihenfolge im Replay nicht deterministisch. Fix: Migrationen eindeutig umbenennen + core/migrate.js um Duplicate-Prefix-Check und SHA256-Checksum pro Migration erweitern. Siehe audit/20-FINDINGS.md BUG-01."
BUG-02,critical,now,"Cron endpoint accepts secret via query, not timing-safe","audit-2026-04,severity:critical,type:security,area:tours","tours/routes/cron-api.js:18-29",S,"String-Vergleich per !== (nicht crypto.timingSafeEqual) + implizite Akzeptanz von req.query.secret über die Bridge-Middleware. Patch in audit/handoff/HANDOFF.md Fix 1. Refs: BUG-02."
BUG-03,critical,now,"Hardcoded password 'Biel2503!' in deploy script","audit-2026-04,severity:critical,type:security,area:scripts","scripts/deploy-mail-inbox.ps1:35",M,"Klartext-Admin-Passwort im Git. Fix: (a) Passwort in Prod rotieren, (b) History-Rewrite mit git filter-repo, (c) Script so umbauen, dass es Credentials aus ENV liest. Siehe Fix 0 + Fix 2 im HANDOFF.md. Refs: BUG-03."
BUG-04,critical,now,"Default admin password fallback in reset-admin-password.js","audit-2026-04,severity:critical,type:security,area:booking","booking/reset-admin-password.js:37",S,"Bei erstem Lauf ohne ENV wird ein Default-Passwort gesetzt. Fix: Script muss ohne explizite Passphrase abbrechen (process.exit(1)). Refs: BUG-04."
BUG-05,critical,next,"Double-booking race in order creation","audit-2026-04,severity:critical,type:bug,area:booking","booking/server.js:~3926-4100",L,"Kein SELECT ... FOR UPDATE auf verfügbaren Slots vor INSERT. Zwei simultane Buchungen desselben Slots führen zu Überbuchung. Fix: Advisory-Lock auf slot_id + UNIQUE Partial Index (tour_id, slot_date) WHERE status != 'cancelled'. Refs: BUG-05."
BUG-06,critical,next,"Renewal invoice race in subscription renewal","audit-2026-04,severity:critical,type:bug,area:tours","tours/lib/subscriptions.js:145-211",M,"Renewal-Job und Webhook-Handler können gleichzeitig eine Renewal-Invoice für dieselbe Tour erzeugen. Fix: pg_advisory_xact_lock auf tour_id am Transaktionsanfang. Refs: BUG-06."
BUG-07,critical,now,"Payrexx webhook secret fallback to API_SECRET","audit-2026-04,severity:critical,type:security,area:tours","tours/routes/payrexx-webhook.js:58",S,"Fallback auf PAYREXX_API_SECRET, wenn PAYREXX_WEBHOOK_SECRET fehlt — unterschiedliche Trust-Domains. Patch in HANDOFF.md Fix 3. Refs: BUG-07."
BUG-08,high,now,"Hardcoded session secret fallback (platform)","audit-2026-04,severity:high,type:security,area:platform","platform/server.js:54",S,"SESSION_SECRET hat einen hartkodierten Fallback 'propus-tour-manager-secret'. Fix: Boot-Guard in HANDOFF.md Fix 1 (REQUIRED_ENV-Liste) erzwingt Abbruch bei fehlender ENV. Refs: BUG-08."
BUG-09,high,now,"Tours session secret fallback","audit-2026-04,severity:high,type:security,area:tours","tours/server.js",S,"Analog zu BUG-08, eigener Default-Secret in tours/server.js. Gleicher Fix: Boot-Guard. Refs: BUG-09."
BUG-10,high,now,"CORS origin set to * with credentials","audit-2026-04,severity:high,type:security,area:booking","booking/server.js",S,"cors({origin: '*', credentials: true}) ist browser-technisch nicht wirksam, signalisiert aber falsches Mental Model. Fix: Whitelist mit [booking.propus.ch, admin.propus.ch, propus.ch]. Refs: BUG-10."
BUG-11,high,now,"Session cookie missing httpOnly on admin routes","audit-2026-04,severity:high,type:security,area:booking","booking/server.js",S,"Einzelne Admin-Routen setzen Session ohne httpOnly. Cookie-Theft via XSS möglich. Fix: httpOnly: true in allen session()-Configs. Refs: BUG-11."
BUG-12,high,next,"No CSRF protection on state-mutating endpoints","audit-2026-04,severity:high,type:security,area:booking","booking/ + tours/",M,"State-mutating POST/DELETE-Endpunkte haben keinen CSRF-Token-Check. Fix: csurf oder Double-Submit-Cookie-Pattern auf allen /api/admin/*-Routen. Refs: BUG-12."
BUG-13,high,next,"Math.random() used for ID generation","audit-2026-04,severity:high,type:security,area:booking","booking/server.js (multiple locations)",M,"Order-IDs und Token werden teilweise per Math.random() erzeugt. Nicht kryptografisch zufällig. Fix: crypto.randomBytes(16).toString('hex') oder DB-Sequenzen + nanoid. Refs: BUG-13."
BUG-14,high,next,"JSON blobs used as database (attribute maps)","audit-2026-04,severity:high,type:code-smell,area:booking","booking/migrations/*.sql",L,"Attribute werden als JSON-Spalte gespeichert, nicht relational. Weder typisiert noch indexierbar. Fix: Eigene Tabellen mit Fremdschlüsseln. Refs: BUG-14."
BUG-15,high,next,"Cron jobs without distributed lock","audit-2026-04,severity:high,type:bug,area:tours","tours/ (cron-jobs)",M,"Bei horizontaler Skalierung würden mehrere Cron-Jobs parallel laufen. Fix: pg_advisory_lock('cron:<jobname>') am Start jedes Jobs. Refs: BUG-15."
BUG-16,high,now,"No process-level error handlers","audit-2026-04,severity:high,type:bug,area:all","platform/server.js",S,"Kein unhandledRejection/uncaughtException-Handler. Silent crashes möglich. Fix: Listener mit pino-Log + process.exit(1). Refs: BUG-16."
BUG-17,high,next,"OAuth relies on unverified forwarded headers","audit-2026-04,severity:high,type:security,area:auth","auth/ + booking/routes/auth.js",M,"X-Forwarded-Host wird ohne Trust-Proxy-Whitelist verwendet. Host-Header-Injection möglich. Fix: trust proxy nur für Traefik-IP, Host-Validierung gegen Whitelist. Refs: BUG-17."
BUG-18,high,next,"~65 React components missing 'use client' directive","audit-2026-04,severity:high,type:bug,area:app","app/src/",M,"Komponenten mit Hooks (useState etc.) ohne 'use client' würden im Next-16-Server-Components-Kontext fehlen. Derzeit durch SPA-Catch-All abgefangen. Fix: Audit + Annotation, ggf. ESLint-Rule @next/next/no-hooks-in-server-components. Refs: BUG-18."
BUG-19,high,now,"Cookie secure set to 'auto' instead of true","audit-2026-04,severity:high,type:security,area:platform","platform/server.js:68",S,"'auto' evaluiert pro Request basierend auf req.protocol; hinter Traefik kann das false werden. Fix: secure: true (und trust proxy korrekt setzen). Refs: BUG-19."
BUG-20,high,now,"Postgres port 5432 bound to 0.0.0.0","audit-2026-04,severity:high,type:security,area:infra","docker-compose.vps.yml",S,"Postgres lauscht auf allen Interfaces. Fix: ports: '127.0.0.1:5432:5432' statt '5432:5432'. Refs: BUG-20."
BUG-21,high,now,"admin-account.json (scrypt hash) committed to repo","audit-2026-04,severity:high,type:security,area:booking","booking/admin-account.json",M,"Hash eines realen Admin-Accounts liegt im Git. Fix 0 + Fix 2 im HANDOFF.md. Refs: BUG-21."
BUG-22,high,next,"OpenAI API key exposure risk in ai-helpers","audit-2026-04,severity:high,type:security,area:app","app/ + booking/",S,"OPENAI_API_KEY wird in manchen Code-Pfaden über process.env ohne Masking geloggt. Fix: Centralized getOpenAIKey() + pino-redact-Liste. Refs: BUG-22."
BUG-23,high,next,"RBAC is binary (isAdmin), no role granularity","audit-2026-04,severity:high,type:security,area:auth","tours/middleware/auth.js",L,"Jeder Admin hat Full-Access. Kein editor/viewer/cron/api. Fix: core.admin_users.role-Spalte + middleware requireRole(['admin','editor']). Refs: BUG-23."
BUG-24,high,next,"EJS templates use unescaped output on user data","audit-2026-04,severity:high,type:security,area:tours","tours/views/",S,"<%- … %> in Cleanup-View gibt User-Content unescaped aus. XSS-Risiko. Fix: Überall <%= %> + helper für bewusst-HTML. Refs: BUG-24."
BUG-25,high,next,"Payrexx proxy endpoint skips signature check","audit-2026-04,severity:high,type:security,area:booking","booking/routes/payrexx-proxy.js",S,"Proxy-Route leitet Webhook-Payloads ohne Sig-Check an internen Handler weiter. Fix: Proxy entfernen oder Sig prüfen. Refs: BUG-25."
BUG-26,high,next,"Fire-and-forget renewal mail send","audit-2026-04,severity:high,type:bug,area:tours","tours/lib/subscriptions.js",M,"Mail-Sends ohne await/catch → Logs verlieren Fehler. Fix: Outbox-Pattern (tour_manager.mail_queue + Worker). Refs: BUG-26."
BUG-27,high,next,"GitHub Actions pinned to floating major tags","audit-2026-04,severity:high,type:security,area:ci",".github/workflows/*",S,"uses: actions/checkout@v5 statt @sha. Supply-Chain-Risiko. Fix: Actions auf volle SHAs pinnen, via Dependabot pflegen. Refs: BUG-27."
BUG-28,high,next,"fast-xml-parser without XXE hardening","audit-2026-04,severity:high,type:security,area:app","app/ (xml-import)",S,"Parser ohne entity-resolution-disable. Fix: {ignoreAttributes:false, allowBooleanAttributes:false, processEntities:false}. Refs: BUG-28."
BUG-29,high,next,"Async handlers without try/catch","audit-2026-04,severity:high,type:bug,area:booking","booking/ + tours/ (multiple)",M,"Express 4.x reicht ungefangene Promise-Rejects nicht an den Error-Handler. Fix: express-async-errors oder Wrapper asyncH(fn). Refs: BUG-29."
BUG-30,high,now,"Supabase service role key in client-side bundle","audit-2026-04,severity:high,type:security,area:website","website/",S,"SUPABASE_SERVICE_ROLE_KEY sollte niemals ins Astro-Client-Bundle gelangen. Fix: Prüfen dass nur _ANON_KEY public ist; service_role nur in server-endpoints via ENV. Refs: BUG-30."
BUG-31,medium,next,"console.log in production code paths","audit-2026-04,severity:medium,type:code-smell,area:all","all modules",M,"~200 console.log-Aufrufe in Production. Fix: Alle auf pino/winston mit Level. Refs: BUG-31."
BUG-32,medium,next,"winston in booking, pino in platform — mixed logging","audit-2026-04,severity:medium,type:code-smell,area:booking","booking/",M,"Zwei Logging-Stacks parallel. Fix: Migration auf pino überall. Refs: BUG-32."
BUG-33,medium,next,"No request-ID correlation across services","audit-2026-04,severity:medium,type:observability,area:all","platform/ + booking/ + tours/",S,"X-Request-ID wird nicht durchgereicht. Fix: pino-http mit genReqId + Downstream-Requests ergänzen. Refs: BUG-33."
BUG-34,medium,next,"No rate-limiting on public endpoints","audit-2026-04,severity:medium,type:security,area:booking","booking/server.js (public POST routes)",M,"Booking-POST + Login + Webhook ohne Rate-Limit. Fix: express-rate-limit mit Redis-Store. Refs: BUG-34."
BUG-35,medium,next,"Zod/Valibot not used on API inputs","audit-2026-04,severity:medium,type:code-smell,area:all","all API routes",M,"Request-Bodies werden per manuellem if-Check validiert. Fix: Zod-Schemas pro Route. Refs: BUG-35."
BUG-36,medium,next,"Unused dependencies in app/package.json","audit-2026-04,severity:medium,type:code-smell,area:app","app/package.json",S,"10 Backend-Libs (nodemailer, pdfkit, swissqrbill etc.) in app/ deklariert, aber nie importiert. Fix: Entfernen. Refs: Phase 2 depcheck."
